COUNTRY_CODE,POSTAL_CODE,ESTIMATED_NUTS3,ESTIMATED_NUTS2,ESTIMATED_NUTS1,CONFIDENCE
CZ,11801,CZ010,CZ01,CZ0,high
CZ,11833,CZ010,CZ01,CZ0,high
CZ,11840,CZ010,CZ01,CZ0,high
CZ,11846,CZ010,CZ01,CZ0,high
CZ,11850,CZ010,CZ01,CZ0,high
CZ,11851,CZ010,CZ01,CZ0,high
CZ,11821,CZ010,CZ01,CZ0,high
CZ,11908,CZ010,CZ01,CZ0,high
CZ,12021,CZ010,CZ01,CZ0,high
CZ,12039,CZ010,CZ01,CZ0,high
CZ,12044,CZ010,CZ01,CZ0,high
CZ,12056,CZ010,CZ01,CZ0,high
CZ,12108,CZ010,CZ01,CZ0,medium
CZ,12132,CZ010,CZ01,CZ0,medium
CZ,12136,CZ010,CZ01,CZ0,medium
CZ,12200,CZ010,CZ01,CZ0,medium
CZ,12801,CZ010,CZ01,CZ0,high
CZ,12803,CZ010,CZ01,CZ0,high
CZ,12841,CZ010,CZ01,CZ0,high
CZ,12846,CZ010,CZ01,CZ0,high
CZ,12850,CZ010,CZ01,CZ0,high
CZ,13067,CZ010,CZ01,CZ0,high
CZ,13080,CZ010,CZ01,CZ0,high
CZ,13085,CZ010,CZ01,CZ0,high
CZ,13100,CZ010,CZ01,CZ0,medium
CZ,13300,CZ010,CZ01,CZ0,medium
CZ,14002,CZ010,CZ01,CZ0,high
CZ,14021,CZ010,CZ01,CZ0,high
CZ,14063,CZ010,CZ01,CZ0,high
CZ,14069,CZ010,CZ01,CZ0,high
CZ,14078,CZ010,CZ01,CZ0,high
CZ,14096,CZ010,CZ01,CZ0,high
CZ,14131,CZ010,CZ01,CZ0,high
CZ,14139,CZ010,CZ01,CZ0,high
CZ,14201,CZ010,CZ01,CZ0,high
CZ,14220,CZ010,CZ01,CZ0,high
CZ,14301,CZ010,CZ01,CZ0,high
CZ,14307,CZ010,CZ01,CZ0,high
CZ,14600,CZ010,CZ01,CZ0,medium
CZ,14708,CZ010,CZ01,CZ0,high
CZ,14828,CZ010,CZ01,CZ0,high
CZ,14941,CZ010,CZ01,CZ0,high
CZ,15006,CZ010,CZ01,CZ0,high
CZ,15021,CZ010,CZ01,CZ0,high
CZ,15022,CZ010,CZ01,CZ0,high
CZ,15604,CZ010,CZ01,CZ0,high
CZ,16017,CZ010,CZ01,CZ0,high
CZ,16052,CZ010,CZ01,CZ0,high
CZ,16080,CZ010,CZ01,CZ0,high
CZ,16041,CZ010,CZ01,CZ0,high
CZ,16068,CZ010,CZ01,CZ0,high
CZ,16106,CZ010,CZ01,CZ0,high
CZ,16206,CZ010,CZ01,CZ0,high
CZ,16201,CZ010,CZ01,CZ0,high
CZ,16208,CZ010,CZ01,CZ0,high
CZ,16252,CZ010,CZ01,CZ0,high
CZ,16502,CZ010,CZ01,CZ0,high
CZ,16521,CZ010,CZ01,CZ0,high
CZ,16628,CZ010,CZ01,CZ0,medium
CZ,16636,CZ010,CZ01,CZ0,medium
CZ,16610,CZ010,CZ01,CZ0,medium
CZ,16623,CZ010,CZ01,CZ0,medium
CZ,17022,CZ010,CZ01,CZ0,high
CZ,17034,CZ010,CZ01,CZ0,high
CZ,17078,CZ010,CZ01,CZ0,high
CZ,17079,CZ010,CZ01,CZ0,high
CZ,17089,CZ010,CZ01,CZ0,high
CZ,18049,CZ010,CZ01,CZ0,high
CZ,18077,CZ010,CZ01,CZ0,high
CZ,18102,CZ010,CZ01,CZ0,high
CZ,18103,CZ010,CZ01,CZ0,high
CZ,18251,CZ010,CZ01,CZ0,high
CZ,18211,CZ010,CZ01,CZ0,high
CZ,18221,CZ010,CZ01,CZ0,high
CZ,18603,CZ010,CZ01,CZ0,high
CZ,19021,CZ010,CZ01,CZ0,high
CZ,19024,CZ010,CZ01,CZ0,high
CZ,19078,CZ010,CZ01,CZ0,high
CZ,19821,CZ010,CZ01,CZ0,high
CZ,19899,CZ010,CZ01,CZ0,high
CZ,19902,CZ010,CZ01,CZ0,high
CZ,25050,CZ020,CZ02,CZ0,high
CZ,25626,CZ020,CZ02,CZ0,high
CZ,26233,CZ020,CZ02,CZ0,high
CZ,26253,CZ020,CZ02,CZ0,high
CZ,26480,CZ020,CZ02,CZ0,high
CZ,26643,CZ020,CZ02,CZ0,high
CZ,26656,CZ020,CZ02,CZ0,high
CZ,26637,CZ020,CZ02,CZ0,high
CZ,26673,CZ020,CZ02,CZ0,high
CZ,26919,CZ020,CZ02,CZ0,high
CZ,26920,CZ020,CZ02,CZ0,high
CZ,27180,CZ020,CZ02,CZ0,high
CZ,27200,CZ020,CZ02,CZ0,high
CZ,27853,CZ020,CZ02,CZ0,high
CZ,28000,CZ020,CZ02,CZ0,high
CZ,28031,CZ020,CZ02,CZ0,high
CZ,28050,CZ020,CZ02,CZ0,high
CZ,28090,CZ020,CZ02,CZ0,high
CZ,28220,CZ020,CZ02,CZ0,high
CZ,28227,CZ020,CZ02,CZ0,high
CZ,28411,CZ020,CZ02,CZ0,high
CZ,28480,CZ020,CZ02,CZ0,high
CZ,28614,CZ020,CZ02,CZ0,high
CZ,28626,CZ020,CZ02,CZ0,high
CZ,29002,CZ020,CZ02,CZ0,high
CZ,29360,CZ020,CZ02,CZ0,high
CZ,29380,CZ020,CZ02,CZ0,high
CZ,29521,CZ020,CZ02,CZ0,high
CZ,29601,CZ020,CZ02,CZ0,medium
CZ,30112,CZ032,CZ03,CZ0,high
CZ,30138,CZ032,CZ03,CZ0,high
CZ,30121,CZ032,CZ03,CZ0,high
CZ,30613,CZ032,CZ03,CZ0,medium
CZ,30614,CZ032,CZ03,CZ0,medium
CZ,31209,CZ032,CZ03,CZ0,high
CZ,31802,CZ032,CZ03,CZ0,high
CZ,31805,CZ032,CZ03,CZ0,high
CZ,32321,CZ032,CZ03,CZ0,high
CZ,33143,CZ032,CZ03,CZ0,high
CZ,33613,CZ032,CZ03,CZ0,high
CZ,35605,CZ041,CZ04,CZ0,high
CZ,35741,CZ041,CZ04,CZ0,high
CZ,35747,CZ041,CZ04,CZ0,high
CZ,36020,CZ041,CZ04,CZ0,high
CZ,36009,CZ041,CZ04,CZ0,high
CZ,36261,CZ041,CZ04,CZ0,high
CZ,36455,CZ041,CZ04,CZ0,high
CZ,37021,CZ031,CZ03,CZ0,high
CZ,37002,CZ031,CZ03,CZ0,high
CZ,37101,CZ031,CZ03,CZ0,medium
CZ,37145,CZ031,CZ03,CZ0,medium
CZ,37146,CZ031,CZ03,CZ0,medium
CZ,37161,CZ031,CZ03,CZ0,medium
CZ,37160,CZ031,CZ03,CZ0,medium
CZ,37211,CZ031,CZ03,CZ0,medium
CZ,37216,CZ031,CZ03,CZ0,medium
CZ,37715,CZ031,CZ03,CZ0,high
CZ,37743,CZ031,CZ03,CZ0,high
CZ,37926,CZ031,CZ03,CZ0,high
CZ,38322,CZ031,CZ03,CZ0,high
CZ,38629,CZ031,CZ03,CZ0,high
CZ,38648,CZ031,CZ03,CZ0,high
CZ,39030,CZ031,CZ03,CZ0,high
CZ,39041,CZ031,CZ03,CZ0,high
CZ,39711,CZ031,CZ03,CZ0,high
CZ,39740,CZ031,CZ03,CZ0,high
CZ,40096,CZ042,CZ04,CZ0,high
CZ,40100,CZ042,CZ04,CZ0,medium
CZ,40501,CZ042,CZ04,CZ0,high
CZ,40655,CZ042,CZ04,CZ0,medium
CZ,40681,CZ042,CZ04,CZ0,medium
CZ,41265,CZ042,CZ04,CZ0,high
CZ,41300,CZ042,CZ04,CZ0,high
CZ,41311,CZ042,CZ04,CZ0,high
CZ,41538,CZ042,CZ04,CZ0,high
CZ,41549,CZ042,CZ04,CZ0,high
CZ,42802,CZ042,CZ04,CZ0,low
CZ,43028,CZ042,CZ04,CZ0,high
CZ,43002,CZ042,CZ04,CZ0,high
CZ,43446,CZ042,CZ04,CZ0,high
CZ,43447,CZ042,CZ04,CZ0,high
CZ,43440,CZ042,CZ04,CZ0,high
CZ,43541,CZ042,CZ04,CZ0,high
CZ,43667,CZ042,CZ04,CZ0,high
CZ,44058,CZ042,CZ04,CZ0,high
CZ,45100,CZ051,CZ05,CZ0,low
CZ,46031,CZ051,CZ05,CZ0,high
CZ,46002,CZ051,CZ05,CZ0,high
CZ,46011,CZ051,CZ05,CZ0,high
CZ,46084,CZ051,CZ05,CZ0,high
CZ,46117,CZ051,CZ05,CZ0,medium
CZ,46361,CZ051,CZ05,CZ0,high
CZ,46679,CZ051,CZ05,CZ0,high
CZ,46634,CZ051,CZ05,CZ0,high
CZ,46680,CZ051,CZ05,CZ0,high
CZ,46751,CZ051,CZ05,CZ0,medium
CZ,47100,CZ051,CZ05,CZ0,high
CZ,48829,CZ052,CZ05,CZ0,low
CZ,50001,CZ052,CZ05,CZ0,high
CZ,50005,CZ052,CZ05,CZ0,high
CZ,50101,CZ052,CZ05,CZ0,medium
CZ,50611,CZ052,CZ05,CZ0,high
CZ,50927,CZ052,CZ05,CZ0,high
CZ,51611,CZ052,CZ05,CZ0,high
CZ,53001,CZ053,CZ05,CZ0,high
CZ,53005,CZ053,CZ05,CZ0,high
CZ,53043,CZ053,CZ05,CZ0,high
CZ,53094,CZ053,CZ05,CZ0,high
CZ,53021,CZ053,CZ05,CZ0,high
CZ,53114,CZ053,CZ05,CZ0,medium
CZ,53121,CZ053,CZ05,CZ0,medium
CZ,53210,CZ053,CZ05,CZ0,medium
CZ,53203,CZ053,CZ05,CZ0,medium
CZ,53760,CZ053,CZ05,CZ0,high
CZ,54111,CZ052,CZ05,CZ0,high
CZ,54170,CZ052,CZ05,CZ0,high
CZ,54601,CZ052,CZ05,CZ0,medium
CZ,56322,CZ053,CZ05,CZ0,high
CZ,56364,CZ053,CZ05,CZ0,high
CZ,56619,CZ053,CZ05,CZ0,high
CZ,56801,CZ053,CZ05,CZ0,high
CZ,57012,CZ053,CZ05,CZ0,high
CZ,57013,CZ053,CZ05,CZ0,high
CZ,57221,CZ053,CZ05,CZ0,high
CZ,58002,CZ063,CZ06,CZ0,high
CZ,58329,CZ063,CZ06,CZ0,high
CZ,58606,CZ063,CZ06,CZ0,high
CZ,58624,CZ063,CZ06,CZ0,high
CZ,58733,CZ063,CZ06,CZ0,medium
CZ,59413,CZ063,CZ06,CZ0,medium
CZ,59423,CZ063,CZ06,CZ0,medium
CZ,60150,CZ064,CZ06,CZ0,medium
CZ,60177,CZ064,CZ06,CZ0,medium
CZ,60182,CZ064,CZ06,CZ0,medium
CZ,60187,CZ064,CZ06,CZ0,medium
CZ,60190,CZ064,CZ06,CZ0,medium
CZ,60100,CZ064,CZ06,CZ0,medium
CZ,60601,CZ064,CZ06,CZ0,medium
CZ,61153,CZ064,CZ06,CZ0,medium
CZ,61242,CZ064,CZ06,CZ0,high
CZ,61265,CZ064,CZ06,CZ0,high
CZ,61662,CZ064,CZ06,CZ0,high
CZ,64804,CZ064,CZ06,CZ0,medium
CZ,65691,CZ064,CZ06,CZ0,low
CZ,65702,CZ064,CZ06,CZ0,low
CZ,65770,CZ064,CZ06,CZ0,low
CZ,65812,CZ064,CZ06,CZ0,low
CZ,65841,CZ064,CZ06,CZ0,low
CZ,65870,CZ064,CZ06,CZ0,low
CZ,65959,CZ064,CZ06,CZ0,low
CZ,65937,CZ064,CZ06,CZ0,low
CZ,66215,CZ064,CZ06,CZ0,medium
CZ,66224,CZ064,CZ06,CZ0,medium
CZ,66226,CZ064,CZ06,CZ0,medium
CZ,66251,CZ064,CZ06,CZ0,medium
CZ,66254,CZ064,CZ06,CZ0,medium
CZ,66210,CZ064,CZ06,CZ0,medium
CZ,66625,CZ064,CZ06,CZ0,high
CZ,66941,CZ064,CZ06,CZ0,high
CZ,66975,CZ064,CZ06,CZ0,high
CZ,66933,CZ064,CZ06,CZ0,high
CZ,67423,CZ063,CZ06,CZ0,high
CZ,67654,CZ063,CZ06,CZ0,high
CZ,68011,CZ064,CZ06,CZ0,high
CZ,68203,CZ064,CZ06,CZ0,high
CZ,68505,CZ064,CZ06,CZ0,high
CZ,68617,CZ072,CZ07,CZ0,high
CZ,68662,CZ072,CZ07,CZ0,high
CZ,68653,CZ072,CZ07,CZ0,high
CZ,68831,CZ072,CZ07,CZ0,high
CZ,69062,CZ064,CZ06,CZ0,high
CZ,69075,CZ064,CZ06,CZ0,high
CZ,69021,CZ064,CZ06,CZ0,high
CZ,69025,CZ064,CZ06,CZ0,high
CZ,69216,CZ064,CZ06,CZ0,high
CZ,69331,CZ064,CZ06,CZ0,high
CZ,69503,CZ064,CZ06,CZ0,high
CZ,69511,CZ064,CZ06,CZ0,high
CZ,69504,CZ064,CZ06,CZ0,high
CZ,70044,CZ080,CZ08,CZ0,high
CZ,70103,CZ080,CZ08,CZ0,medium
CZ,70104,CZ080,CZ08,CZ0,medium
CZ,70218,CZ080,CZ08,CZ0,high
CZ,70262,CZ080,CZ08,CZ0,high
CZ,70381,CZ080,CZ08,CZ0,high
CZ,70384,CZ080,CZ08,CZ0,high
CZ,70818,CZ080,CZ08,CZ0,high
CZ,70833,CZ080,CZ08,CZ0,high
CZ,70856,CZ080,CZ08,CZ0,high
CZ,70808,CZ080,CZ08,CZ0,high
CZ,70861,CZ080,CZ08,CZ0,high
CZ,70912,CZ080,CZ08,CZ0,high
CZ,71610,CZ080,CZ08,CZ0,high
CZ,72601,CZ080,CZ08,CZ0,medium
CZ,72899,CZ080,CZ08,CZ0,medium
CZ,72804,CZ080,CZ08,CZ0,medium
CZ,72813,CZ080,CZ08,CZ0,medium
CZ,72930,CZ080,CZ08,CZ0,medium
CZ,73000,CZ080,CZ08,CZ0,medium
CZ,73324,CZ080,CZ08,CZ0,high
CZ,73411,CZ080,CZ08,CZ0,high
CZ,73465,CZ080,CZ08,CZ0,high
